name,review_count,categories,rating,coordinates,price
Starbucks,215,coffee,3.0,"37.57945164,-122.346153383511",$
Peet's Coffee,165,coffee,3.5,"37.48649,-122.23352",$
SusieCakes,305,"desserts,bakeries,cupcakes",4.0,"37.5058708190918,-122.26001739502",$$
Roots Farmers Market,2,farmersmarket,5.0,"37.5371635,-122.2559617",
Dog Pool Club,83,"dog_parks,coffee,groomer",4.5,"37.50009,-122.25024",
LeVant Dessert,17,"desserts,catering,bakeries",5.0,"37.453714,-122.183696",
The Cakery,458,"customcakes,cakeshop,cupcakes",4.0,"37.578507,-122.347503",$$
Freewheel Brewing Company,338,"breweries,burgers,pubs",4.0,"37.4782534,-122.1869481",$$
Dunkin’,28,"donuts,coffee",2.5,"37.4695161442443,-122.223315598146",
The Ideal Store,66,"propane,grocery,beer_and_wine",3.5,"37.4864,-122.19284",
Crepevine Restaurants,1895,"creperies,breakfast_brunch,newamerican",4.0,"37.57852,-122.34763",$$
Fonzi's Chicken and Waffles,1,"waffles,breakfast_brunch,fooddeliveryservices",4.0,"37.547717,-122.308337",
Paws for Coffee,4,coffee,2.0,"37.5350798,-122.3351254",
The Doorbell Cookie Company,8,bakeries,4.5,"37.5611381530762,-122.268882751465",
Baking Arts,117,"cookingschools,gourmet",5.0,"37.563159942627,-122.325256347656",$$
Sigona's Farmers Market,282,"markets,farmersmarket,cheese",4.5,"37.48008,-122.216037",$$
Beard Papa's Sweets Cafe,389,desserts,4.0,"37.5668,-122.32275",$$
Starbucks,91,coffee,2.5,"37.506495,-122.260987",$
Donut Depot,62,donuts,4.5,"37.4709359,-122.2024886",$
Burlingame Fresh Market,66,farmersmarket,3.5,"37.5785399,-122.34711",$$
STARBUCKS,160,coffee,2.5,"37.478619,-122.186086",$
From Flour,57,"customcakes,cupcakes",5.0,"37.54167,-122.3043",
Tutti Frutti,159,"desserts,icecream",4.5,"37.50703,-122.26105",$
Lunardi's Markets,180,grocery,3.0,"37.5106358765112,-122.293166126161",$$
STARBUCKS COFFEE,93,coffee,3.0,"37.49041,-122.240323",$
Maria's Cafe,6,cafes,4.5,"37.4806329,-122.199059",
Simple Delights,92,"icecream,desserts,customcakes",5.0,"37.534113,-122.326339",$$
The Omelette House,237,"breakfast_brunch,tradamerican",4.0,"37.5120735168457,-122.267127990723",$$
Cuco’s Burritos,344,"mexican,breakfast_brunch",4.5,"37.47551,-122.20925",$$
STARBUCKS COFFEE,164,coffee,2.5,"37.562897,-122.323927",$
British Bankers Club,280,"newamerican,cocktailbars,desserts",3.5,"37.4538765,-122.1825821",$$$
Gelataio,219,gelato,4.0,"37.50552,-122.2604",$$
Starbucks,34,coffee,3.0,"37.602131,-122.37050915",$
Nothing Bundt Cakes,264,"bakeries,desserts,cupcakes",4.0,"37.5027565,-122.2571247",$$
Kelly's Deli,33,delis,3.5,"37.5629832,-122.2813222",$
Old World Spirits,19,"wineries,distilleries",4.5,"37.521247,-122.265655",$$
La Estrellita Restaurant,54,"mexican,breakfast_brunch,tapasmallplates",4.0,"37.48066,-122.21737",$
Talk of Broadway,396,"breakfast_brunch,burgers",4.0,"37.486684,-122.2279753",$$
SusieCakes,365,"desserts,bakeries,cupcakes",4.0,"37.4527,-122.18405",$$
Bonfare Market,25,"convenience,beer_and_wine",4.0,"37.471448340641,-122.259398506359",$$
Alvin's Scrumptious Coffees & Teas,2,coffee,5.0,"37.5882108,-122.3364428",$$
Stamp Bar & Grill,402,"newamerican,bars,desserts",4.5,"37.504416,-122.258336",$$
Red Stack Cafe And Market,1,cafes,5.0,"37.5561,-122.30102",
Starbucks,122,coffee,3.0,"37.58590075,-122.36517047",$$
Redwood Grill,516,"tradamerican,breakfast_brunch,cocktailbars",4.0,"37.4567096,-122.2291218",$$
Menchie's Frozen Yogurt,194,"icecream,customcakes",4.0,"37.5189045,-122.2744648",$$
Domenico Winery,222,"wineries,venues",4.5,"37.4989663,-122.2419506",$$
Sequoia Foods,3,grocery,5.0,"37.584941715858,-122.3655024",
Noah's NY Bagels,263,"bagels,breakfast_brunch,sandwiches",2.0,"37.56283572305325,-122.32397675514221",$
Wetzel's Pretzels,51,pretzels,3.0,"37.537799453937524,-122.30050113814949",$
Bon Appetit 500 Cafe,10,"coffee,sandwiches,tradamerican",3.5,"37.5304565547128,-122.262302589252",$
Made Out of Dough,71,"customcakes,cupcakes,bakeries",5.0,"37.5556449890137,-122.32559967041",$
Erik's DeliCafé,272,"sandwiches,delis,soup",3.5,"37.4904794395564,-122.225026422577",$$
Draeger's Market,619,"grocery,cookingschools,delis",4.0,"37.5642587,-122.3220461",$$$
Flights Restaurant And Bar,1022,"newamerican,cocktailbars,breakfast_brunch",4.0,"37.57974,-122.34571",$$
Loop Neighborhood Market,23,"convenience,coffee,servicestations",4.0,"37.4672333,-122.2084944",$$
Zipotes Restaurant,235,"salvadoran,breakfast_brunch,mexican",4.0,"37.4808905043617,-122.198772680939",$
Tokyo Meet Hanoi,1,"japanese,foodtrucks,vietnamese",5.0,"37.57779,-122.3468",
Osteria at Domenico Winery,118,"italian,wine_bars,winetastingroom",4.0,"37.49917,-122.24154",$$
Breakers Cafe,134,"breakfast_brunch,cafes",3.5,"37.45620202088,-122.22940372225",$$
Whole Foods Market,723,"grocery,healthmarkets,organic_stores",3.5,"37.543935,-122.291697",$$$
Lavender 'n Cream,16,"desserts,customcakes,bakeries",4.5,"37.47829809632459,-122.1872289",
Humphry Slocombe Redwood City,32,icecream,4.0,"37.4864147,-122.2277747",
Nijiya Market - San Mateo,339,"intlgrocery,seafoodmarkets,japanese",4.0,"37.5483714060139,-122.311103404565",$$
Jack's Restaurant & Bar,777,"breakfast_brunch,tradamerican,wine_bars",4.0,"37.55108,-122.31348",$$
Mini Mart,1,"coffee,convenience",5.0,"37.49445,-122.246451",
Cafe Giete,1,cafes,4.0,"37.578216280601964,-122.34898701310158",
Cake Creations & Bakery,235,"sandwiches,coffee",4.0,"37.5515519588182,-122.301665000298",$
Franklin Street Caffe,322,"breakfast_brunch,tradamerican,pizza",4.0,"37.4852024098942,-122.230885714194",$$
China Live Signatures,1,"fooddeliveryservices,dimsum",1.0,"37.52663,-122.28469",
Starbucks,13,coffee,2.0,"37.518694,-122.27581",$$
Mochinut - San mateo,217,"donuts,hotdog",3.5,"37.56573401152234,-122.3228065402077",$
McDonald's,142,"burgers,hotdogs,coffee",2.0,"37.524895,-122.2818262",$
Denny's,310,"diners,tradamerican,breakfast_brunch",2.0,"37.5454989,-122.2853038",$
Sweet Carotene,5,"desserts,cupcakes",5.0,"37.53846776350364,-122.30451883175313",
Starbucks,127,coffee,3.0,"37.57989507,-122.33314085",$$
Johnny’s First Toast,51,breakfast_brunch,4.5,"37.555607190223164,-122.3180814",$$
99 Ranch Market,311,"seafoodmarkets,intlgrocery",3.0,"37.553545,-122.257214",$$
Capelo's Barbecue,437,"bbq,foodtrucks",4.5,"37.4770934,-122.2115173",$$
St James Gate Bar and Restaurant,338,"tradamerican,bars,breakfast_brunch",3.5,"37.5166757,-122.270162",$$
Chavez Supermarket & Taqueria,211,"grocery,mexican,butcher",4.0,"37.4885509,-122.2353577",$
Franklin Templeton Cafe,15,cafes,3.5,"37.543706937568,-122.294520179273",$
Preston's Candy & Ice Cream,298,"candy,icecream",4.0,"37.5867233276367,-122.364593505859",$
C&C Curry House by Asian Box - Noshery,1,"vietnamese,gluten_free,fooddeliveryservices",5.0,"37.56714,-122.32465",
Starbucks,6,coffee,2.0,"37.55324184,-122.31355443",
The Ravioli House,557,"delis,sandwiches,catering",4.5,"37.5640830993652,-122.320419311523",$$
Anya's Cakes,44,"desserts,customcakes,cupcakes",4.5,"37.52369,-122.2785",$$
Starbucks,79,coffee,2.5,"37.47736436794531,-122.223464",$$
Lucky,94,"grocery,bakeries",2.5,"37.5454017,-122.2711919",$$
Sandwich Meister,1,"burgers,sandwiches,fooddeliveryservices",4.0,"37.54773438365199,-122.3083157",
Starbucks,19,coffee,2.0,"37.47563316,-122.21718272",$
Rita's Italian Ice & Frozen Custard,196,"desserts,icecream,gelato",4.0,"37.50514,-122.25829",$
Kasa Indian Eatery,2,"indpak,vegetarian,fooddeliveryservices",4.5,"37.56714,-122.32465",
7-Eleven,21,"convenience,coffee",3.0,"37.5310019147354,-122.287226244862",$
Safeway,208,grocery,2.5,"37.5532143,-122.3136738",$$
Sweet Orchid,27,"gelato,desserts,customcakes",4.5,"37.449906,-122.176448",
Starbucks,113,coffee,2.5,"37.46634616,-122.22448477",$
Corner Yogurt,150,icecream,4.0,"37.456617,-122.227695",$
Delucchi's Market,108,"grocery,delis",3.0,"37.4784415900785,-122.188114823241",$$
Two Cousins Deli,26,"delis,italian,breakfast_brunch",4.5,"37.51874,-122.27188",
Trader Joe's,214,"grocery,beer_and_wine,flowers",4.5,"37.53542963082544,-122.298285614744",$
The Fish Market - San Mateo,1435,"seafood,seafoodmarkets",3.0,"37.5559775652298,-122.292957548568",$$
Dehoff's Key Market,84,"grocery,beer_and_wine,meats",4.0,"37.46708,-122.24195",$$
Pressed,34,"juicebars,vegan,healthmarkets",3.0,"37.57882,-122.34653",
Menlo Cafe,108,"breakfast_brunch,cafes",3.5,"37.4531021118164,-122.183723449707",$
ZoomCaffe,7,"cafes,coffee,breakfast_brunch",2.5,"37.4857366065822,-122.20298608434366",
Peet's Coffee,118,coffee,3.5,"37.44938,-122.18603",$
Starbucks,112,coffee,3.0,"37.502941,-122.257122",$
IHOP,108,"breakfast_brunch,tradamerican,burgers",3.0,"37.52579,-122.28261",$$
Wes Liquors,12,beer_and_wine,3.0,"37.5442899,-122.30624",$$$$
Mosaic Market,17,grocery,5.0,"37.5341156,-122.2948069",
A Time For Tea,1,food,4.0,"37.4866327,-122.2293767",
Froyola,37,"icecream,juicebars",4.5,"37.4867482944358,-122.229360103705",$$
Starbucks,98,coffee,3.0,"37.452214,-122.183867",$$
The Cheesecake Factory,1603,"tradamerican,desserts",2.5,"37.5378764,-122.300907",$$
7-Eleven,26,"convenience,coffee,breakfast_brunch",2.5,"37.5211572,-122.274506",$
Dean's Produce,134,"markets,grocery",4.0,"37.5627939,-122.324142",$$
Glaze Teriyaki Grill,1,"fooddeliveryservices,japanese",3.0,"37.52663,-122.28469",
Noshery,2,"fooddeliveryservices,sandwiches,catering",4.5,"37.56714,-122.32465",
Chai Yo Thai Vegetarian,50,"thai,asianfusion,coffee",4.5,"37.547213,-122.308976",
World Market,55,"furniture,homedecor,beer_and_wine",4.0,"37.5610958,-122.2801406",$$
Bay Area Bagels,179,"bagels,delis,sandwiches",3.5,"37.5789833068848,-122.34546661377",$
CVS Pharmacy,94,"drugstores,pharmacy,convenience",2.5,"37.52978,-122.28893",$$
Whole Foods Market,467,"grocery,healthmarkets,organic_stores",3.0,"37.482311,-122.231638",$$$
Trader Joe's,215,grocery,4.0,"37.554542452768395,-122.30251330000002",$$
Chavez Supermarket & Taqueria,185,"grocery,mexican",3.5,"37.4674977,-122.2076826",$$
Penzeys Spices,165,herbsandspices,4.0,"37.4511462,-122.1847667",$$
BJ's Restaurant & Brewhouse,1349,"breweries,newamerican",2.5,"37.5608612,-122.282872",$$
Rite Aid,71,"drugstores,convenience",2.5,"37.553422,-122.304002",$$
Byrd's Filling Station,22,grocery,5.0,"37.56496968414317,-122.32445860212141",
IHOP,184,"tradamerican,breakfast_brunch,burgers",2.5,"37.49539,-122.23493",$$
Donut Delite,93,"donuts,coffee",3.5,"37.5673494,-122.3242134",$
SF Gelateria,69,"catering,gelato,icecream",4.5,"37.48615118811773,-122.23369804492027",
Café de mi Abuelo,1,coffee,5.0,"37.47996,-122.33088",$$
Häagen-Dazs,32,"icecream,juicebars",3.5,"37.537051,-122.298887",
Rite Aid,43,"drugstores,convenience",3.5,"37.53407,-122.327245",$$
DoubleTime,9,"servicestations,convenience",4.0,"37.51735,-122.27116",
Circle K,8,"convenience,servicestations",1.5,"37.50818,-122.26191",$$
Safeway,189,grocery,2.5,"37.518678,-122.275893",$$
Masala Desi Cafe - Burlingame,105,"indpak,coffee",4.5,"37.578061,-122.348721",$$
Aladdin Gourmet,232,"mideastern,halal,intlgrocery",3.5,"37.5409161,-122.2912235",$
Park & Howard Bistro,275,"newamerican,wine_bars,desserts",4.0,"37.57729,-122.34607",$$$
Marina Food,312,intlgrocery,3.0,"37.54473,-122.28413",$$
Panaderia Michoacan 2,15,bakeries,3.5,"37.47443,-122.20836",$
Macarons A Go-Go,18,"macarons,popupshops",5.0,"37.5673522949219,-122.36637878418",$$
Rooster & Rice,35,"chickenshop,fooddeliveryservices",3.5,"37.479069,-122.2231",
Safeway,105,grocery,2.0,"37.4505321,-122.1791572",$$
IHOP,137,"breakfast_brunch,tradamerican,burgers",3.0,"37.5626,-122.27058",$$
7-Eleven,21,"convenience,coffee",2.5,"37.5547187128507,-122.303134649992",$
East Side Banh Mi - Noshery,1,"vietnamese,sandwiches,fooddeliveryservices",2.0,"37.56714,-122.32465",
Kwik & Convenient Market,15,"convenience,beer_and_wine",2.0,"37.58123,-122.34935",$$$
Avenue Liquors,11,beer_and_wine,3.5,"37.466021,-122.241128",$$
Little Sky Bakery,63,bakeries,4.5,"37.4544378,-122.1826204",
Gerry's Cakes,98,"bakeries,customcakes,cupcakes",4.0,"37.45192,-122.18541",$$
The Bistro,2,food,3.0,"37.56026,-122.27303",$$
Starbucks,11,coffee,3.0,"37.450769,-122.17894764",
Smart & Final Extra!,79,grocery,3.0,"37.55494693681373,-122.293824864438",$$
Nob Hill Foods,250,"grocery,beer_and_wine,delis",3.5,"37.5234777848383,-122.25191116333",$$
Shoreview Liquors,16,beer_and_wine,3.0,"37.571663,-122.310974",$
888 Ristorante Italiano,243,"italian,desserts,wine_bars",4.0,"37.502626,-122.25689",$$$
Falafel and Things,114,"foodtrucks,falafel,mideastern",5.0,"37.483465,-122.2056157",$$
McDonald's,236,"burgers,hotdogs,coffee",2.5,"37.563291,-122.271678",$
McDonald's,98,"burgers,hotdogs,coffee",2.5,"37.5539308257468,-122.31639004779",$
Denny's,202,"tradamerican,diners,breakfast_brunch",2.0,"37.4867286553385,-122.214681431651",$
Bianchini's Market,220,grocery,3.5,"37.5031967163086,-122.257743835449",$$$
West Park Bistro,361,"newamerican,wineries,venues",4.0,"37.5038932,-122.2584242",$$
Jamba,10,"juicebars,sandwiches",4.0,"37.56282875124095,-122.32406020122338",
Safeway,247,grocery,2.5,"37.5568552,-122.2757994",$$
Estampas Peruanas Restaurant,333,"peruvian,desserts,seafood",4.0,"37.4871292114258,-122.235481262207",$$
Lucky,76,"grocery,bakeries",2.5,"37.45662,-122.229904",$$
Smart & Final,38,grocery,2.0,"37.4864213,-122.213889",$$
McDonald's,74,"hotdogs,burgers,coffee",2.0,"37.5111663349852,-122.265793610445",$
Food Stop,6,grocery,3.5,"37.4915230069611,-122.239172154543",$
Cook's Seafood Restaurant & Market,618,"seafood,seafoodmarkets,fishnchips",4.0,"37.45141,-122.17966",$$
Kathy's Creative Kakes,216,"bakeries,customcakes",4.0,"37.5631681,-122.3196722",$$
Safeway,139,grocery,3.0,"37.5208108,-122.337834",$$
Stacks,813,"breakfast_brunch,tradamerican",3.5,"37.4534887,-122.1832237",$$
La Hacienda Market,58,"grocery,tacos,butcher",3.5,"37.5762293914095,-122.320558075463",$
Vitality Bowls,300,"juicebars,coffee,acaibowls",3.0,"37.48606,-122.2289559",$$
Starbucks,6,coffee,1.0,"37.576448,-122.348277",
Safeway,121,grocery,2.5,"37.512294044261786,-122.29562227780207",$$
Pokeatery,924,"seafood,hawaiian,poke",4.0,"37.5646703,-122.3211737",$$
Trader Joe's,216,grocery,4.0,"37.49639448412686,-122.248564436959",$$
7-Eleven,18,"convenience,coffee",1.5,"37.5095613035505,-122.261140421087",$
Redwood City Kiwanis Farmers' Market,34,farmersmarket,3.5,"37.4876501,-122.2333667",$
Safeway,94,grocery,2.0,"37.5803669350935,-122.332824021578",$$
Manhattan Bagel,278,"bagels,sandwiches,breakfast_brunch",2.0,"37.4849265352657,-122.230929397366",$
Bayshore Shell,21,"servicestations,convenience,carwash",1.5,"37.59636,-122.36499",$$
Aldo's Pizza,182,"pizza,burgers,pastashops",3.5,"37.570990473032,-122.309082448483",$$
Baskin Robbins,54,icecream,3.5,"37.495139,-122.246358101753",$
Safeway,226,grocery,2.5,"37.5764245,-122.3482986",$$
Rite Aid,76,"drugstores,convenience",2.0,"37.46614,-122.2424",$$
Mollie Stone's,184,grocery,3.5,"37.577094,-122.35056",$$$
Starbucks,30,coffee,3.0,"37.484561,-122.23025",$
The Inspired Cookie,9,bakeries,5.0,"37.5470390319824,-122.314849853516",$
Jamba,128,"juicebars,sandwiches",3.0,"37.56082386687415,-122.27414970000001",$
Cheat A Little Catering,86,"catering,eventplanning,fooddeliveryservices",4.5,"37.5624142871836,-122.325776245043",
Draeger's Cooking School,6,"cookingschools,gourmet",4.5,"37.44924,-122.18528",$$$
Loop Neighborhood Market,1,"convenience,coffee,servicestations",4.0,"37.469776,-122.223715",
Subway,44,"sandwiches,breakfast_brunch,salad",3.5,"37.5052035127121,-122.2582326",$
Stacks,1231,"breakfast_brunch,coffee",3.5,"37.5802552896545,-122.347003308427",$$
Mi Rancho Supermarket,31,grocery,3.0,"37.47833,-122.22555",$
Restaurant Bay Watch,453,"coffee,breakfast_brunch,tradamerican",3.5,"37.5659900336,-122.32389888926",$$
Trader Joe's,150,grocery,4.0,"37.45137,-122.18343",$$
Safeway,278,grocery,2.0,"37.484634518618435,-122.23044996315821",$
Burlingame Liquors,13,beer_and_wine,3.5,"37.58483,-122.36615",$$$$
Jamba,43,"juicebars,sandwiches",2.5,"37.51173473704,-122.293460147844",$
Jamba,160,"juicebars,sandwiches",3.0,"37.5386256,-122.3015156",$
Sirayvah Organic Thai,461,"thai,desserts,seafood",4.0,"37.509564,-122.263426",$$
Grocery Outlet Bargain Market,177,"grocery,discountstore",4.0,"37.4864669,-122.2246828",$
ICICLES,254,icecream,3.5,"37.5652199,-122.3225",$$
Jamba,69,"juicebars,sandwiches",3.0,"37.53407,-122.32659",$
7-Eleven,22,"convenience,coffee",2.0,"37.5669486418502,-122.319457232952",$
Mi Rancho Supermarket,31,"grocery,delis,meats",3.0,"37.47663,-122.21771",$$
7-Eleven,14,"convenience,coffee",3.0,"37.5870602968381,-122.355970814824",$
7-Eleven,6,"convenience,coffee",2.5,"37.4872874,-122.2214529",$
Baskin-Robbins,85,icecream,2.5,"37.56461231132116,-122.324078",$
Stacks,872,"breakfast_brunch,tradamerican",3.5,"37.4915018,-122.2415975",$$
McDonald's,105,"burgers,hotdogs,coffee",2.0,"37.479261,-122.224261",$
Trellis Restaurant,260,"tuscan,beer_and_wine",3.5,"37.45308,-122.1826",$$
Rite Aid,92,"drugstores,convenience",2.5,"37.455703,-122.229283",$
7-Eleven,18,"convenience,coffee",2.0,"37.4907517,-122.2408723",$
Mediterranean Delite,702,"delis,catering,mediterranean",3.5,"37.495214,-122.246608",$$
Cold Stone Creamery,58,"icecream,customcakes,cupcakes",3.0,"37.4528899,-122.18297",$$
Cold Stone Creamery,101,"icecream,customcakes,cupcakes",2.5,"37.56684,-122.32269",$
7-Eleven,24,"convenience,coffee",3.0,"37.4557428667597,-122.182900205271",$
Draeger's Market,250,grocery,3.5,"37.44924,-122.18528",$$$
Jamba,147,"juicebars,sandwiches",2.5,"37.53411987934547,-122.32650533701685",$
5 Stars Ice Cream Frozen Yogurt Coffee & Donuts,1,"icecream,sandwiches",3.0,"37.4806329,-122.199059",
CVS Pharmacy,43,"drugstores,pharmacy,convenience",2.5,"37.5058,-122.26287261838532",$$
7-Eleven,9,"convenience,coffee",2.0,"37.4813555,-122.199121",$
Peninsula Liquors & Tobacco,4,beer_and_wine,4.0,"37.487026,-122.235366",$$
7-Eleven,24,"convenience,coffee",2.0,"37.4712403469259,-122.223589718342",$
Avenue Liquors,12,beer_and_wine,3.5,"37.5723037719727,-122.310775756836",$
Love With Food,49,fooddeliveryservices,1.5,"37.5636808,-122.2690816",$
CVS Pharmacy,120,"drugstores,pharmacy,convenience",1.5,"37.4852,-122.23146791902619",$$
Safeway,137,grocery,2.0,"37.46568,-122.2253797",$$
BevMo!,52,beer_and_wine,3.5,"37.57718,-122.34972",$$
McDonald's,53,"hotdogs,burgers,coffee",1.5,"37.4676094,-122.22362",$
BevMo!,58,beer_and_wine,3.0,"37.47925,-122.22515",$$
Baskin Robbins,32,icecream,2.5,"37.4502296,-122.185318",$$
Jamba,109,"juicebars,sandwiches",2.5,"37.50222,-122.24497",$
McDonald's,63,"burgers,hotdogs,coffee",2.5,"37.4539272240607,-122.183153997184",$
Super Discount Liquor,5,beer_and_wine,3.0,"37.48877,-122.23432",$
Baskin Robbins,55,icecream,2.5,"37.46606,-122.24091",$
Circle K,18,"servicestations,convenience",3.0,"37.488624,-122.2380526",
Flyers,14,"servicestations,convenience",2.5,"37.48764,-122.23601",
Jamba,121,"juicebars,sandwiches",2.5,"37.48466826010517,-122.23246080949451",$
Baskin Robbins,70,icecream,2.5,"37.5775108,-122.3481903",$
Thai House Restaurant,190,"thai,desserts,salad",3.0,"37.4784247,-122.2248871",$$
Barefoot Coffee Roasters,22,"coffeeroasteries,giftshops",4.5,"37.36577321639046,-121.94103443869626",$$
1 Oz Coffee,341,coffee,4.5,"37.4046038838477,-121.98285068455478",$$
Voyager Craft Coffee,228,"coffee,bakeries",4.5,"37.34442440206909,-121.93268635426897",$$
Phin Bar,82,"catering,coffee,bartenders",5.0,"37.39285977765564,-121.89382330392189",
Rumman Cafe,15,"coffee,sandwiches,juicebars",4.5,"37.37708,-121.95948",$
Boast Coffee,1,coffeeroasteries,5.0,"37.37761,-121.93738",
Cosmic Coffee Company,35,coffeeroasteries,5.0,"37.35909610140016,-121.94869968434834",$$
Voyager Craft Coffee,1620,"coffee,bakeries",4.5,"37.3236199,-121.9725281",$$
Caffe Bene,391,"coffee,desserts,juicebars",4.0,"37.412773,-121.937613",$$
Chromatic Coffee,264,"coffeeroasteries,coffee,cafes",4.5,"37.32,-121.9082",$
Big Mug Coffee Roaster,1482,coffeeroasteries,4.0,"37.351526,-121.980883",$$
TSquare Coffee & Tea,32,coffee,5.0,"37.311101,-121.89518",
Coffee & Water Lab,361,"coffee,breakfast_brunch,coffeeroasteries",4.5,"37.31562,-121.97651",$
Hannah Coffee,1285,"coffee,sandwiches,breakfast_brunch",4.5,"37.33160866072895,-121.90553722829216",$$
Nirvana Soul,695,coffee,4.5,"37.331167,-121.887016",$$
Academic Coffee,546,"bakeries,coffeeroasteries",4.5,"37.3291649780216,-121.88400666966",$$
The Grind Coffee House,194,"coffee,bakeries,juicebars",4.0,"37.39664,-121.8903",$
Crema Coffee Roasting,1214,coffeeroasteries,4.0,"37.3254151,-121.9113535",$
Roy's Station Coffee & Teas,936,coffee,4.0,"37.3489990234375,-121.89469909668",$$
Voltaire Coffee Roasters,438,"coffee,coffeeroasteries",4.5,"37.32981,-121.88677",$$
Philz Coffee,2489,coffee,4.5,"37.333609,-121.884901",$$
Blue Bottle Coffee,228,coffee,4.0,"37.319982,-121.948084",$$
Voyager Craft Coffee,360,"coffee,bakeries",4.5,"37.33651,-121.89432",$$
Kenny's Cafe,629,cafes,4.5,"37.36376953125,-121.941215515137",$$
Living Room Coffee Craft,296,"coffee,bakeries",4.5,"37.2918190745639,-121.951279865436",$$
Philz Coffee,716,"coffee,breakfast_brunch",4.0,"37.377371172275616,-122.031308859587",$
Voyager Craft Coffee,102,"coffeeroasteries,coffee",4.5,"37.32331,-122.03808",$$
Qargo Coffee,5,"coffee,desserts,breakfast_brunch",4.0,"37.4064567,-121.94168",
Orchard Valley Coffee,6,"coffee,bakeries",4.0,"37.350825,-121.907086",$
Coffee & More,575,"coffee,sandwiches,breakfast_brunch",4.5,"37.3773678898589,-122.029697857797",$
Peet's Coffee,133,coffee,4.0,"37.381897,-121.895884",$
Egghead Sando Cafe,41,"hotdogs,breakfast_brunch,coffee",4.0,"37.395179,-121.946108",$$
Bitter Sweet,1091,"desserts,coffee",4.0,"37.3181638185566,-122.03151641898",$$
Peet's Coffee,263,coffee,3.5,"37.3945655822754,-121.946464538574",$$
AM Craft,39,coffee,5.0,"37.336437139468444,-121.87701271985449",$
Anam Cafe,32,"coffee,vietnamese,bars",3.5,"37.3315282529382,-121.85846038429898",$$
Donut Den,49,"bakeries,donuts",4.0,"37.3661994934082,-121.94189453125",$
Big Mug Coffee Roaster,61,"coffee,coffeeroasteries,breakfast_brunch",4.5,"37.29177019999999,-121.9324648178091",$
Orbit Coffee - San Jose,292,"coffee,donuts,sandwiches",4.0,"37.33447,-121.91505",$
Nirvana Soul,124,coffee,4.5,"37.32535,-122.01255",$$
Milk Belly Bakery,29,"bakeries,breakfast_brunch,fooddeliveryservices",5.0,"37.34951,-121.91216",
Con Azucar Cafe,258,"coffee,bakeries,juicebars",4.0,"37.33751,-121.88837",$$
Sweet Maple,245,"breakfast_brunch,tradamerican,coffee",4.0,"37.322627665187746,-122.02347891137734",$$
Starbucks,135,coffee,3.5,"37.37091268,-121.91720099",$$
Peet's Coffee,2,coffee,2.0,"37.364545,-121.917475",
Mikayla’s Cafe,133,"breakfast_brunch,burgers,sandwiches",4.0,"37.382908,-121.950077",$$
Rollo's Donut & Coffee Shop,242,"donuts,coffee",4.5,"37.3531199,-121.88612",$
Philz Coffee,58,coffee,4.0,"37.307996910399744,-121.90107688515933",
Cyber Racoon,40,"lancenters,internetcafe,venues",4.5,"37.35168,-121.99218",$
Rose Cafe & Donuts,1155,"donuts,breakfast_brunch,sandwiches",4.5,"37.3083835869936,-121.977138946006",$$
Egghead Sando Cafe,56,"breakfast_brunch,coffee,sandwiches",4.0,"37.334825,-121.889314",$$
Gateway Cafe,48,cafes,5.0,"37.370349,-121.92427",$
Caffino Cup,133,coffee,4.5,"37.42720487195782,-121.9120214",$$
Jin's Bakery & Coffee,62,bakeries,4.0,"37.3520184,-121.976853",$
Barebottle Brewing Company,193,breweries,4.5,"37.382208,-121.972603",$$
Starbucks,109,coffee,3.0,"37.3521,-121.936653",$$
Portuguese Tasty Desserts,63,"bakeries,desserts",5.0,"37.35430144400808,-121.94825191449267",
Peet's Coffee,120,coffee,3.5,"37.35211,-121.960547",$
Philz Coffee,488,"coffee,breakfast_brunch",4.0,"37.3244562056948,-122.010721095241",$
Lotus Cafe,23,"cafes,vietnamese,sandwiches",2.5,"37.3709030151367,-121.919006347656",$$
Cafe Big Mug,135,"coffee,cafes,breakfast_brunch",4.0,"37.32395788187692,-121.96847608387847",$
Starbucks,151,coffee,3.5,"37.35051841,-121.9222063",$$
Dunkin,9,"donuts,coffee",4.0,"37.369372,-121.880056",
Hanabusa Café,487,"desserts,cafes",4.0,"37.378639,-122.04662",$$
Bagel Street Cafe,96,bagels,4.0,"37.3690561,-121.92035",$
iJava Cafe,725,"cafes,coffee,breakfast_brunch",4.5,"37.3261211279172,-121.894719195483",$$
Cocola Bakery,1644,"bakeries,coffee,catering",3.5,"37.3219375610352,-121.948204040527",$$
Paris Baguette,83,"bakeries,coffee,cakeshop",4.0,"37.389593,-121.984068",$$
Joyheart Cafe,60,"cafes,vegan,taiwanese",4.5,"37.38768,-121.90025",$$
Cafe Eden,35,"cafes,mediterranean,breakfast_brunch",5.0,"37.3364,-121.89032",
Orchard Valley Coffee,20,"bakeries,coffee,breakfast_brunch",4.0,"37.323924,-121.994498",
Clover Bakery & Cafe,1122,"bakeries,cafes,sandwiches",4.5,"37.3155397971275,-121.978173101276",$
Cafe Paradise,104,"coffee,vietnamese,hookah_bars",4.0,"37.30065,-121.85764",$$
Starbucks,85,coffee,3.5,"37.38533151,-121.92793391",$$
Stan's Donut Shop,2285,donuts,4.5,"37.338861954274,-121.97310467526",$
